dataset,patient_id,slide_id,region_uid,x,y,tile_size,mag,tissue_fraction,tumor_mask_overlap,tumor_overlap_fraction,tumor_mask_overlap_center,tumor_mask_overlap_area20,selection_source,rank,task_id,model_hash,context_set,is_diverse,random_seed,relative_path,minio_path,patch_uid
c16_native,test_064,test_064_tile_embeddings,6ef19b1d71d9b733,51968,153856,256,20,0.875213623046875,1,1.0,1,1,top_k,1,a50fbde29aa04e9d829a4580fd5c68b8,a50fbde29aa04e9d829a4580fd5c68b8,standard,0,0,vlm_patches/test_064_tile_embeddings/standard/top_k/test_064_tile_embeddings_standard_top_k_000.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c16_abmil_vlm_patches_a50fbde29aa04e9d829a4580fd5c68b8.tar.gz!/vlm_patches/test_064_tile_embeddings/standard/top_k/test_064_tile_embeddings_standard_top_k_000.png,test_064_tile_embeddings_standard_top_k_000
c16_native,test_064,test_064_tile_embeddings,be8195c493b1a6ff,51712,153600,256,20,0.8614349365234375,1,0.815,1,1,top_k,2,a50fbde29aa04e9d829a4580fd5c68b8,a50fbde29aa04e9d829a4580fd5c68b8,standard,0,0,vlm_patches/test_064_tile_embeddings/standard/top_k/test_064_tile_embeddings_standard_top_k_001.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c16_abmil_vlm_patches_a50fbde29aa04e9d829a4580fd5c68b8.tar.gz!/vlm_patches/test_064_tile_embeddings/standard/top_k/test_064_tile_embeddings_standard_top_k_001.png,test_064_tile_embeddings_standard_top_k_001
c16_native,test_064,test_064_tile_embeddings,4df86d1259b2fe11,51968,153344,256,20,0.8529510498046875,1,1.0,1,1,top_k,3,a50fbde29aa04e9d829a4580fd5c68b8,a50fbde29aa04e9d829a4580fd5c68b8,standard,0,0,vlm_patches/test_064_tile_embeddings/standard/top_k/test_064_tile_embeddings_standard_top_k_002.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c16_abmil_vlm_patches_a50fbde29aa04e9d829a4580fd5c68b8.tar.gz!/vlm_patches/test_064_tile_embeddings/standard/top_k/test_064_tile_embeddings_standard_top_k_002.png,test_064_tile_embeddings_standard_top_k_002
c16_native,test_002,test_002_tile_embeddings,a87783cbc94e389f,32768,165120,256,20,0.77044677734375,1,1.0,1,1,top_k,1,a50fbde29aa04e9d829a4580fd5c68b8,a50fbde29aa04e9d829a4580fd5c68b8,standard,0,0,vlm_patches/test_002_tile_embeddings/standard/top_k/test_002_tile_embeddings_standard_top_k_000.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c16_abmil_vlm_patches_a50fbde29aa04e9d829a4580fd5c68b8.tar.gz!/vlm_patches/test_002_tile_embeddings/standard/top_k/test_002_tile_embeddings_standard_top_k_000.png,test_002_tile_embeddings_standard_top_k_000
c16_native,test_002,test_002_tile_embeddings,1dcd89966158ac98,33024,166144,256,20,0.793182373046875,1,1.0,1,1,top_k,2,a50fbde29aa04e9d829a4580fd5c68b8,a50fbde29aa04e9d829a4580fd5c68b8,standard,0,0,vlm_patches/test_002_tile_embeddings/standard/top_k/test_002_tile_embeddings_standard_top_k_001.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c16_abmil_vlm_patches_a50fbde29aa04e9d829a4580fd5c68b8.tar.gz!/vlm_patches/test_002_tile_embeddings/standard/top_k/test_002_tile_embeddings_standard_top_k_001.png,test_002_tile_embeddings_standard_top_k_001
c16_native,test_002,test_002_tile_embeddings,6b5edd51e30ceef3,32512,165632,256,20,0.7733612060546875,1,1.0,1,1,top_k,3,a50fbde29aa04e9d829a4580fd5c68b8,a50fbde29aa04e9d829a4580fd5c68b8,standard,0,0,vlm_patches/test_002_tile_embeddings/standard/top_k/test_002_tile_embeddings_standard_top_k_002.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c16_abmil_vlm_patches_a50fbde29aa04e9d829a4580fd5c68b8.tar.gz!/vlm_patches/test_002_tile_embeddings/standard/top_k/test_002_tile_embeddings_standard_top_k_002.png,test_002_tile_embeddings_standard_top_k_002
c16_native,test_054,test_054_tile_embeddings,d3866beeb9bcc7b6,23296,94720,256,20,0.7824859619140625,0,0.0,0,0,top_k,1,a50fbde29aa04e9d829a4580fd5c68b8,a50fbde29aa04e9d829a4580fd5c68b8,standard,0,0,vlm_patches/test_054_tile_embeddings/standard/top_k/test_054_tile_embeddings_standard_top_k_000.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c16_abmil_vlm_patches_a50fbde29aa04e9d829a4580fd5c68b8.tar.gz!/vlm_patches/test_054_tile_embeddings/standard/top_k/test_054_tile_embeddings_standard_top_k_000.png,test_054_tile_embeddings_standard_top_k_000
c16_native,test_054,test_054_tile_embeddings,0810f7fa513ffe23,35328,170240,256,20,0.4394378662109375,0,0.0,0,0,top_k,2,a50fbde29aa04e9d829a4580fd5c68b8,a50fbde29aa04e9d829a4580fd5c68b8,standard,0,0,vlm_patches/test_054_tile_embeddings/standard/top_k/test_054_tile_embeddings_standard_top_k_001.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c16_abmil_vlm_patches_a50fbde29aa04e9d829a4580fd5c68b8.tar.gz!/vlm_patches/test_054_tile_embeddings/standard/top_k/test_054_tile_embeddings_standard_top_k_001.png,test_054_tile_embeddings_standard_top_k_001
c16_native,test_054,test_054_tile_embeddings,b6a4586e9c0c7cd4,22528,94208,256,20,0.731597900390625,0,0.0,0,0,top_k,3,a50fbde29aa04e9d829a4580fd5c68b8,a50fbde29aa04e9d829a4580fd5c68b8,standard,0,0,vlm_patches/test_054_tile_embeddings/standard/top_k/test_054_tile_embeddings_standard_top_k_002.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c16_abmil_vlm_patches_a50fbde29aa04e9d829a4580fd5c68b8.tar.gz!/vlm_patches/test_054_tile_embeddings/standard/top_k/test_054_tile_embeddings_standard_top_k_002.png,test_054_tile_embeddings_standard_top_k_002
c16_native,test_055,test_055_tile_embeddings,0d43aad5714ab021,39680,8192,256,20,0.8465576171875,0,0.0,0,0,top_k,1,a50fbde29aa04e9d829a4580fd5c68b8,a50fbde29aa04e9d829a4580fd5c68b8,standard,0,0,vlm_patches/test_055_tile_embeddings/standard/top_k/test_055_tile_embeddings_standard_top_k_000.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c16_abmil_vlm_patches_a50fbde29aa04e9d829a4580fd5c68b8.tar.gz!/vlm_patches/test_055_tile_embeddings/standard/top_k/test_055_tile_embeddings_standard_top_k_000.png,test_055_tile_embeddings_standard_top_k_000
